Chg, spotDist, metRelChg, volChg, target
90, 93, 90, 134, BUY
158, 90, 141, 28, BUY
201, 95, 170, 113, BUY
107, 103, 111, 87, BUY
63, 102, 111, 139, BUY
67, 96, 90, 53, BUY
124, 91, 132, 199, BUY
139, 91, 119, 113, BUY
112, 93, 119, 56, BUY
110, 93, 118, 66, BUY
97, 92, 131, 58, BUY
73, 89, 83, 29, BUY
120, 85, 106, 207, BUY
27, 85, 62, 15, BUY
193, 75, 165, 192, BUY
110, 83, 112, 187, BUY
81, 82, 45, 51, BUY
90, 78, 82, 79, BUY
59, 75, 85, 67, BUY
8, 68, 64, 36, BUY
67, 55, 138, 125, BUY
94, 48, 120, 162, BUY
71, 46, 53, 56, BUY
0, 40, 29, 51, BUY
105, 24, 120, 132, BUY
250, 23, 255, 47, BUY
255, 39, 218, 90, BUY
144, 55, 139, 198, BUY
128, 58, 135, 110, BUY
87, 59, 118, 85, BUY
67, 56, 120, 77, BUY
34, 49, 74, 73, BUY
174, 39, 158, 62, BUY
51, 46, 37, 86, BUY
222, 37, 140, 73, BUY
171, 50, 86, 183, BUY
69, 56, 112, 82, BUY
146, 50, 152, 152, BUY
87, 53, 91, 46, BUY
106, 50, 150, 105, BUY
136, 48, 115, 122, BUY
114, 50, 83, 122, BUY
8, 68, 64, 36, BUY
67, 55, 138, 125, BUY
94, 48, 120, 162, BUY
71, 46, 53, 56, BUY
0, 40, 29, 51, BUY
105, 24, 120, 132, BUY
250, 23, 255, 47, BUY
255, 39, 218, 90, BUY
144, 55, 139, 198, BUY
128, 58, 135, 110, BUY
87, 59, 118, 85, BUY
67, 56, 120, 77, BUY
34, 49, 74, 73, BUY
174, 39, 158, 62, BUY
51, 46, 37, 86, BUY
222, 37, 140, 73, BUY
171, 50, 86, 183, BUY
69, 56, 112, 82, BUY
146, 50, 152, 152, BUY
87, 53, 91, 46, BUY
106, 50, 150, 105, BUY
136, 48, 115, 122, BUY
114, 50, 83, 103, BUY
100, 50, 73, 108, BUY
131, 47, 126, 50, BUY
132, 49, 103, 90, BUY
