Chg, spotDist, metRelChg, volChg, target
114, 16, 214, 51, HOLD
99, 17, 183, 37, HOLD
107, 17, 150, 27, HOLD
61, 18, 145, 32, HOLD
51, 17, 168, 25, HOLD
27, 16, 144, 28, HOLD
78, 14, 181, 56, HOLD
98, 14, 95, 14, HOLD
113, 14, 121, 50, HOLD
101, 15, 138, 38, HOLD
70, 15, 149, 76, HOLD
69, 14, 227, 3, HOLD
103, 14, 124, 3, HOLD
74, 24, 208, 15, HOLD
94, 23, 185, 19, HOLD
114, 23, 155, 56, HOLD
63, 24, 147, 49, HOLD
72, 23, 160, 13, HOLD
36, 23, 165, 27, HOLD
101, 21, 218, 26, HOLD
105, 21, 161, 47, HOLD
80, 22, 253, 32, HOLD
110, 22, 115, 28, HOLD
67, 22, 142, 53, HOLD
108, 21, 139, 29, HOLD
92, 22, 166, 42, HOLD
63, 22, 200, 29, HOLD
48, 21, 255, 14, HOLD
24, 20, 226, 17, HOLD
31, 18, 143, 29, HOLD
60, 16, 110, 54, HOLD
21, 15, 171, 16, HOLD
48, 13, 142, 31, HOLD
47, 12, 69, 93, HOLD
54, 10, 0, 19, HOLD
46, 9, 88, 31, HOLD
81, 8, 165, 63, HOLD
48, 8, 180, 14, HOLD
0, 6, 160, 19, HOLD
52, 3, 220, 42, HOLD
110, 2, 144, 21, HOLD
120, 3, 207, 64, HOLD
255, 4, 203, 3, HOLD
235, 9, 188, 46, HOLD
14, 13, 162, 49, HOLD
76, 11, 148, 58, HOLD
53, 10, 135, 24, HOLD
7, 9, 138, 22, HOLD
167, 7, 227, 23, HOLD
156, 9, 201, 41, HOLD
105, 11, 147, 37, HOLD
64, 12, 118, 46, HOLD
137, 11, 172, 35, HOLD
80, 12, 170, 22, HOLD
54, 12, 149, 22, HOLD
48, 13, 142, 31, HOLD
47, 12, 69, 93, HOLD
54, 10, 0, 19, HOLD
46, 9, 88, 31, HOLD
81, 8, 165, 63, HOLD
48, 8, 180, 14, HOLD
0, 6, 160, 19, HOLD
52, 3, 220, 42, HOLD
110, 2, 144, 21, HOLD
120, 3, 207, 64, HOLD
255, 4, 203, 3, HOLD
235, 9, 188, 46, HOLD
14, 13, 162, 49, HOLD
76, 11, 148, 58, HOLD
53, 10, 135, 24, HOLD
7, 9, 138, 22, HOLD
167, 7, 227, 23, HOLD
156, 9, 201, 41, HOLD
105, 11, 147, 37, HOLD
64, 12, 118, 46, HOLD
137, 11, 172, 35, HOLD
80, 12, 170, 22, HOLD
54, 12, 149, 18, HOLD
79, 11, 153, 54, HOLD
46, 10, 173, 52, HOLD
63, 9, 165, 22, HOLD
152, 8, 138, 28, HOLD
134, 10, 158, 37, HOLD
97, 11, 140, 33, HOLD
113, 12, 182, 18, HOLD
58, 12, 122, 78, HOLD
44, 11, 139, 24, HOLD
110, 10, 175, 50, HOLD
78, 11, 176, 34, HOLD
66, 10, 203, 24, HOLD
86, 9, 162, 22, HOLD
131, 9, 120, 38, HOLD
76, 11, 152, 60, HOLD
178, 10, 116, 3, HOLD
