imp_v,spotDist,u%Chg,oLast,target
0,223,34,1,HOLD
0,113,13,1,BUY
0,122,48,2,BUY
0,114,32,4,BUY
40,104,25,18,WRITE
56,6,32,242,WRITE
0,112,56,6,BUY
34,189,115,0,HOLD
0,145,23,0,BUY
49,88,15,46,WRITE
0,225,3,1,HOLD
0,113,23,3,BUY
0,174,8,1,HOLD
0,131,64,0,BUY
32,51,24,134,HOLD
56,5,7,243,WRITE
0,131,15,1,BUY
0,95,38,29,WRITE
0,98,9,24,WRITE
0,115,9,6,BUY
0,114,50,6,BUY
0,148,64,0,BUY
49,88,19,45,WRITE
0,137,11,0,BUY
53,94,56,31,WRITE
0,187,8,1,HOLD
0,146,8,0,BUY
49,97,15,27,WRITE
0,138,12,3,HOLD
0,237,16,0,HOLD
0,91,23,38,WRITE
0,178,19,0,HOLD
60,1,49,248,WRITE
0,122,43,0,BUY
55,32,9,179,HOLD
0,112,22,3,BUY
0,132,60,1,BUY
41,101,48,22,WRITE
39,103,46,19,WRITE
0,224,18,0,HOLD
41,49,9,138,HOLD
38,148,12,1,HOLD
0,140,23,0,BUY
60,30,12,183,HOLD
0,128,116,5,HOLD
34,54,24,125,HOLD
34,81,29,63,HOLD
50,96,50,28,WRITE
52,93,44,33,WRITE
0,130,22,0,BUY
0,149,13,0,BUY
0,122,7,1,BUY
57,5,38,240,WRITE
0,201,32,1,HOLD
0,86,38,49,WRITE
0,98,4,26,WRITE
0,84,64,52,WRITE
0,80,8,65,HOLD
62,2,6,250,WRITE
48,6,36,237,WRITE
0,100,9,30,HOLD
0,46,23,146,HOLD
0,127,41,0,BUY
41,104,10,15,WRITE
48,87,36,47,WRITE
0,131,43,0,BUY
0,131,16,1,BUY
57,47,89,142,HOLD
66,3,77,243,WRITE
41,103,37,17,WRITE
0,131,9,1,BUY
0,129,25,3,HOLD
32,138,3,3,HOLD
0,86,111,50,WRITE
0,118,97,3,BUY
0,131,23,0,BUY
39,53,1,127,HOLD
64,5,10,243,WRITE
