Chg, spotDist, metRelChg, volChg, target
77, 20, 116, 47, HOLD
82, 16, 97, 53, HOLD
76, 12, 31, 40, HOLD
29, 8, 0, 36, HOLD
173, 0, 188, 47, HOLD
159, 4, 171, 124, HOLD
166, 6, 142, 31, HOLD
109, 9, 114, 51, HOLD
132, 8, 143, 61, HOLD
145, 8, 134, 62, HOLD
107, 9, 112, 41, HOLD
90, 7, 110, 31, HOLD
108, 4, 145, 31, HOLD
121, 52, 131, 43, HOLD
174, 51, 176, 26, HOLD
205, 54, 196, 43, HOLD
117, 59, 125, 25, HOLD
92, 58, 125, 74, HOLD
77, 56, 95, 39, HOLD
116, 53, 124, 41, HOLD
155, 52, 148, 96, HOLD
121, 54, 135, 34, HOLD
92, 53, 89, 29, HOLD
47, 51, 53, 56, HOLD
148, 45, 189, 30, HOLD
180, 47, 197, 103, HOLD
112, 50, 174, 47, HOLD
188, 49, 176, 33, HOLD
110, 53, 111, 91, HOLD
150, 52, 135, 48, HOLD
108, 53, 100, 66, HOLD
84, 52, 112, 37, HOLD
24, 49, 67, 4, HOLD
0, 42, 32, 37, HOLD
57, 32, 60, 93, HOLD
157, 27, 168, 84, HOLD
70, 29, 108, 24, HOLD
126, 25, 153, 36, HOLD
123, 25, 100, 78, HOLD
255, 24, 255, 28, HOLD
154, 34, 163, 104, HOLD
114, 35, 119, 75, HOLD
72, 34, 92, 32, HOLD
36, 30, 65, 18, HOLD
50, 23, 81, 74, HOLD
150, 17, 135, 38, HOLD
121, 19, 122, 59, HOLD
199, 18, 120, 38, HOLD
191, 24, 117, 69, HOLD
102, 28, 159, 81, HOLD
113, 26, 110, 72, HOLD
141, 25, 167, 49, HOLD
105, 26, 154, 25, HOLD
169, 24, 169, 74, HOLD
193, 27, 199, 74, HOLD
24, 49, 67, 4, HOLD
0, 42, 32, 37, HOLD
57, 32, 60, 93, HOLD
157, 27, 168, 84, HOLD
70, 29, 108, 24, HOLD
126, 25, 153, 36, HOLD
123, 25, 100, 78, HOLD
255, 24, 255, 28, HOLD
154, 34, 163, 104, HOLD
114, 35, 119, 75, HOLD
72, 34, 92, 32, HOLD
36, 30, 65, 18, HOLD
50, 23, 81, 74, HOLD
150, 17, 135, 38, HOLD
121, 19, 122, 59, HOLD
199, 18, 120, 38, HOLD
191, 24, 117, 69, HOLD
102, 28, 159, 81, HOLD
113, 26, 110, 72, HOLD
141, 25, 167, 49, HOLD
105, 26, 154, 25, HOLD
169, 24, 169, 74, HOLD
193, 27, 199, 34, HOLD
176, 32, 182, 52, HOLD
88, 36, 62, 74, HOLD
131, 33, 99, 47, HOLD
135, 33, 157, 43, HOLD
103, 33, 116, 28, HOLD
128, 32, 136, 73, HOLD
125, 32, 173, 59, HOLD
93, 31, 102, 22, HOLD
207, 29, 182, 26, HOLD
204, 34, 209, 69, HOLD
127, 40, 108, 79, HOLD
116, 39, 104, 33, HOLD
106, 39, 97, 78, HOLD
68, 37, 63, 49, HOLD
114, 33, 100, 68, HOLD
98, 32, 105, 34, HOLD
63, 29, 77, 40, HOLD
109, 25, 104, 62, HOLD
209, 23, 193, 62, HOLD
131, 33, 99, 47, HOLD
135, 33, 157, 43, HOLD
103, 33, 116, 28, HOLD
128, 32, 136, 73, HOLD
125, 32, 173, 59, HOLD
93, 31, 102, 22, HOLD
207, 29, 182, 26, HOLD
204, 34, 209, 69, HOLD
127, 40, 108, 79, HOLD
116, 39, 104, 33, HOLD
106, 39, 97, 78, HOLD
68, 37, 63, 49, HOLD
114, 33, 100, 68, HOLD
98, 32, 105, 34, HOLD
63, 29, 77, 40, HOLD
109, 25, 104, 62, HOLD
209, 23, 193, 25, HOLD
