Chg, spotDist, metRelChg, volDiff, target
4, 127, 76, 241, HOLD
131, 90, 190, 171, WRITE
107, 91, 155, 0, WRITE
12, 191, 71, 241, HOLD
24, 156, 82, 140, HOLD
45, 224, 12, 144, HOLD
0, 227, 20, 207, HOLD
255, 98, 255, 163, HOLD
13, 146, 53, 101, HOLD
54, 23, 89, 131, HOLD
68, 35, 118, 141, HOLD
49, 167, 123, 143, HOLD
46, 80, 67, 175, WRITE
133, 203, 63, 214, HOLD
82, 81, 134, 205, WRITE
46, 145, 79, 218, HOLD
133, 57, 63, 214, HOLD
12, 90, 71, 241, WRITE
66, 82, 115, 113, WRITE
46, 223, 79, 218, HOLD
36, 154, 116, 235, HOLD
180, 71, 207, 234, WRITE
12, 79, 71, 241, WRITE
67, 220, 40, 101, HOLD
62, 157, 122, 196, HOLD
45, 157, 84, 241, HOLD
68, 78, 93, 69, WRITE
26, 225, 24, 126, HOLD
20, 89, 69, 255, WRITE
8, 134, 20, 226, HOLD
31, 81, 44, 207, WRITE
36, 165, 116, 235, HOLD
45, 213, 12, 144, HOLD
7, 79, 57, 207, WRITE
133, 80, 63, 214, WRITE
40, 89, 100, 220, HOLD
45, 89, 12, 144, WRITE
24, 55, 82, 140, HOLD
49, 66, 123, 143, HOLD
15, 10, 10, 174, HOLD
15, 88, 10, 174, WRITE
24, 167, 82, 140, HOLD
107, 147, 155, 0, HOLD
4, 220, 41, 193, HOLD
15, 246, 21, 184, HOLD
24, 132, 88, 185, HOLD
60, 130, 100, 219, HOLD
16, 97, 77, 177, HOLD
26, 247, 24, 126, HOLD
133, 57, 63, 214, HOLD
24, 188, 88, 185, HOLD
68, 10, 93, 69, HOLD
0, 81, 20, 207, WRITE
1, 71, 54, 179, WRITE
45, 78, 84, 241, WRITE
20, 123, 69, 255, HOLD
46, 69, 67, 175, WRITE
1, 74, 48, 182, WRITE
68, 135, 118, 141, HOLD
7, 23, 57, 207, HOLD
59, 32, 101, 104, HOLD
62, 68, 122, 196, WRITE
15, 201, 21, 184, HOLD
62, 191, 122, 196, HOLD
56, 20, 90, 1, HOLD
4, 89, 89, 202, HOLD
1, 82, 54, 179, WRITE
40, 78, 100, 220, WRITE
66, 138, 115, 113, HOLD
8, 78, 20, 226, WRITE
54, 79, 89, 131, WRITE
96, 227, 102, 138, HOLD
180, 205, 207, 234, HOLD
67, 141, 40, 101, HOLD
24, 76, 88, 185, WRITE
4, 83, 50, 175, WRITE
15, 122, 21, 184, HOLD
11, 177, 0, 190, HOLD
44, 134, 89, 190, HOLD
4, 190, 89, 202, HOLD
68, 225, 118, 141, HOLD
58, 111, 27, 195, HOLD
16, 243, 77, 177, HOLD
180, 48, 207, 234, HOLD
133, 78, 178, 148, WRITE
0, 25, 20, 207, HOLD
12, 168, 71, 241, HOLD
46, 91, 67, 175, WRITE
58, 44, 27, 195, HOLD
56, 76, 90, 1, WRITE
15, 234, 21, 184, HOLD
60, 86, 100, 219, WRITE
11, 206, 53, 206, HOLD
49, 245, 123, 143, HOLD
31, 134, 85, 228, HOLD
45, 78, 12, 144, WRITE
4, 26, 76, 241, HOLD
32, 86, 1, 223, WRITE
11, 68, 22, 228, HOLD
1, 119, 48, 182, HOLD
49, 88, 123, 143, WRITE
13, 79, 53, 101, WRITE
67, 220, 40, 101, HOLD
16, 74, 77, 177, WRITE
4, 150, 50, 175, HOLD
45, 67, 84, 241, HOLD
60, 18, 100, 219, HOLD
1, 231, 48, 182, HOLD
133, 123, 178, 148, HOLD
15, 122, 21, 184, HOLD
7, 23, 57, 207, HOLD
46, 89, 79, 218, WRITE
4, 108, 41, 193, HOLD
1, 94, 54, 179, WRITE
56, 177, 90, 1, HOLD
7, 57, 57, 207, HOLD
133, 10, 178, 148, HOLD
45, 146, 84, 241, HOLD
60, 220, 100, 219, HOLD
49, 200, 123, 143, HOLD
70, 70, 87, 220, WRITE
68, 44, 93, 69, HOLD
36, 154, 116, 235, HOLD
131, 22, 190, 171, HOLD
12, 146, 71, 241, HOLD
1, 85, 48, 182, WRITE
180, 59, 207, 234, HOLD
67, 7, 40, 101, HOLD
11, 80, 22, 228, WRITE
11, 202, 53, 233, HOLD
11, 94, 53, 114, WRITE
49, 77, 123, 143, WRITE
70, 149, 87, 220, HOLD
49, 241, 103, 228, HOLD
4, 93, 76, 241, HOLD
11, 143, 0, 190, HOLD
133, 181, 63, 214, HOLD
11, 38, 53, 206, HOLD
96, 70, 102, 138, WRITE
82, 249, 134, 205, HOLD
70, 138, 87, 220, HOLD
11, 191, 53, 233, HOLD
41, 172, 87, 174, HOLD
4, 94, 50, 175, WRITE
24, 88, 88, 185, WRITE
46, 46, 67, 175, HOLD
50, 225, 92, 69, HOLD
133, 225, 63, 214, HOLD
70, 194, 87, 220, HOLD
50, 23, 92, 69, HOLD
49, 28, 103, 228, HOLD
11, 90, 53, 233, WRITE
36, 75, 116, 235, WRITE
--
86, 85, 79, 10, HOLD?
101, 64, 119, 8, HOLD?
9, 150, 59, 11, HOLD?
54, 76, 87, 11, HOLD?
83, 206, 118, 9, HOLD?
121, 145, 143, 7, HOLD?
121, 156, 143, 7, HOLD?
32, 19, 102, 8, HOLD?
150, 145, 113, 5, HOLD?
27, 109, 76, 10, WRITE?
19, 32, 69, 11, HOLD?
92, 77, 116, 11, HOLD?
74, 113, 121, 9, WRITE?
32, 242, 102, 8, HOLD?
57, 181, 105, 10, HOLD?
14, 189, 87, 11, HOLD?
72, 223, 130, 9, HOLD?
62, 113, 108, 10, WRITE?
14, 182, 9, 11, HOLD?
19, 191, 69, 11, HOLD?
22, 226, 26, 11, HOLD?
255, 0, 255, 8, HOLD?
97, 105, 104, 10, WRITE?
71, 48, 131, 12, HOLD?
14, 224, 9, 11, HOLD?
27, 46, 76, 10, HOLD?
54, 151, 87, 11, HOLD?
28, 214, 78, 11, HOLD?
170, 170, 180, 11, HOLD?
72, 191, 130, 9, HOLD?
1, 108, 58, 12, WRITE?
23, 128, 84, 8, HOLD?
121, 103, 143, 7, WRITE?
22, 119, 26, 11, WRITE?
32, 117, 91, 130, WRITE?
76, 225, 119, 10, HOLD?
48, 109, 63, 9, WRITE?
34, 96, 9, 11, WRITE?
121, 114, 143, 2, WRITE?
14, 72, 87, 11, HOLD?
22, 117, 74, 10, WRITE?
5, 152, 82, 10, HOLD?
17, 74, 88, 11, HOLD?
34, 128, 9, 11, WRITE?
4, 61, 66, 11, HOLD?
32, 95, 91, 10, WRITE?
22, 194, 26, 11, HOLD?
11, 199, 49, 13, HOLD?
14, 33, 9, 11, HOLD?
48, 242, 102, 9, HOLD?
