Chg, spotDist, metRelChg, volDiff, target
97, 232, 104, 10, HOLD?
24, 76, 75, 10, WRITE?
17, 117, 88, 11, WRITE?
19, 203, 81, 11, HOLD?
97, 84, 104, 10, WRITE?
11, 103, 49, 13, WRITE?
117, 231, 107, 9, HOLD?
32, 136, 102, 8, HOLD?
62, 177, 108, 10, HOLD?
67, 105, 104, 15, WRITE?
1, 173, 0, 11, HOLD?
72, 128, 130, 4, WRITE?
48, 199, 102, 9, HOLD?
4, 83, 66, 11, WRITE?
255, 117, 255, 13, WRITE?
4, 125, 66, 27, HOLD?
19, 107, 81, 11, WRITE?
22, 236, 26, 11, HOLD?
9, 107, 99, 13, WRITE?
62, 102, 108, 10, WRITE?
34, 208, 1, 7, HOLD?
0, 66, 89, 12, HOLD?
121, 39, 143, 7, HOLD?
0, 13, 89, 12, HOLD?
117, 189, 107, 9, HOLD?
101, 127, 119, 8, HOLD?
76, 44, 119, 10, HOLD?
34, 102, 1, 2, WRITE?
74, 124, 121, 79, HOLD?
34, 87, 47, 10, WRITE?
12, 223, 88, 10, HOLD?
0, 98, 89, 12, WRITE?
19, 43, 81, 11, HOLD?
5, 195, 82, 10, HOLD?
72, 149, 130, 9, HOLD?
83, 174, 118, 9, HOLD?
137, 61, 111, 11, HOLD?
97, 243, 104, 10, HOLD?
83, 36, 118, 9, HOLD?
117, 200, 107, 9, HOLD?
14, 200, 87, 11, HOLD?
17, 32, 88, 11, HOLD?
9, 54, 99, 13, HOLD?
22, 162, 26, 11, HOLD?
12, 215, 66, 10, HOLD?
9, 202, 99, 13, HOLD?
16, 103, 53, 5, WRITE?
117, 93, 107, 9, WRITE?
65, 94, 124, 11, WRITE?
19, 96, 69, 11, WRITE?
12, 181, 88, 10, HOLD?
32, 83, 102, 8, WRITE?
97, 243, 104, 10, HOLD?
255, 11, 255, 8, HOLD?
27, 152, 76, 10, HOLD?
24, 108, 75, 10, WRITE?
19, 149, 69, 11, HOLD?
34, 38, 1, 7, HOLD?
22, 88, 26, 11, HOLD?
11, 231, 49, 13, HOLD?
19, 213, 69, 11, HOLD?
34, 204, 47, 10, HOLD?
12, 151, 66, 10, HOLD?
8, 146, 59, 10, HOLD?
34, 86, 9, 11, WRITE?
76, 98, 119, 10, HOLD?
19, 181, 81, 11, HOLD?
34, 119, 47, 10, WRITE?
97, 147, 104, 10, HOLD?
34, 33, 9, 11, HOLD?
255, 96, 255, 8, WRITE?
92, 108, 116, 11, WRITE?
117, 83, 107, 9, WRITE?
97, 94, 104, 10, WRITE?
32, 127, 91, 5, HOLD?
71, 228, 131, 12, HOLD?
72, 96, 130, 9, HOLD?
150, 177, 113, 5, HOLD?
97, 33, 133, 7, HOLD?
12, 85, 88, 10, HOLD?
11, 61, 49, 13, HOLD?
14, 235, 9, 11, HOLD?
65, 115, 124, 10, WRITE?
78, 110, 72, 11, WRITE?
16, 114, 53, 6, WRITE?
27, 194, 76, 10, HOLD?
0, 236, 89, 12, HOLD?
72, 255, 130, 9, HOLD?
71, 133, 131, 12, HOLD?
121, 82, 143, 7, WRITE?
255, 191, 255, 8, HOLD?
19, 96, 81, 11, WRITE?
92, 193, 116, 11, HOLD?
255, 127, 255, 8, HOLD?
11, 93, 49, 13, WRITE?
0, 236, 89, 12, HOLD?
117, 104, 107, 9, WRITE?
86, 138, 79, 10, HOLD?
80, 215, 110, 10, HOLD?
1, 193, 58, 12, HOLD?
83, 89, 118, 9, WRITE?
12, 140, 66, 10, HOLD?
