imp_v,spotDist,u%Chg,oLast,target
71,1,41,0,HOLD
71,3,77,0,HOLD
70,5,13,0,HOLD
70,5,43,0,HOLD
70,6,23,0,HOLD
69,5,10,0,HOLD
69,5,23,0,HOLD
69,4,22,0,HOLD
68,5,64,0,HOLD
68,3,10,0,HOLD
68,2,4,0,HOLD
67,3,22,0,HOLD
67,2,6,0,HOLD
66,2,8,0,HOLD
66,2,32,0,HOLD
65,3,64,0,HOLD
65,1,49,0,HOLD
64,3,12,0,HOLD
64,3,43,0,HOLD
64,5,111,0,HOLD
63,1,23,0,HOLD
63,0,47,0,HOLD
62,2,11,0,HOLD
61,2,89,0,HOLD
61,5,38,0,HOLD
60,6,32,0,HOLD
60,5,7,0,HOLD
60,5,16,0,HOLD
59,5,9,0,HOLD
59,5,7,0,HOLD
58,5,38,0,HOLD
58,6,60,0,HOLD
57,4,56,0,HOLD
57,2,32,0,HOLD
56,3,44,0,HOLD
56,5,15,0,HOLD
55,5,19,0,HOLD
54,6,1,0,HOLD
54,6,50,0,HOLD
53,4,66,0,HOLD
53,7,15,0,HOLD
52,7,19,0,HOLD
52,6,9,0,HOLD
51,6,36,0,HOLD
51,7,1,0,HOLD
50,7,4,0,HOLD
50,8,51,0,HOLD
49,9,22,0,HOLD
49,10,97,0,HOLD
48,13,12,0,HOLD
48,14,48,0,HOLD
47,15,36,0,HOLD
47,14,105,0,HOLD
47,17,9,0,HOLD
47,17,3,0,HOLD
46,18,23,0,HOLD
46,17,52,0,HOLD
46,18,39,0,HOLD
46,20,13,0,HOLD
46,20,25,0,HOLD
45,19,1,0,HOLD
45,19,3,0,HOLD
45,19,53,0,HOLD
45,21,9,0,HOLD
45,21,19,0,HOLD
45,22,12,0,HOLD
44,22,37,0,HOLD
44,23,10,0,HOLD
44,23,9,0,HOLD
44,23,35,0,HOLD
44,22,9,0,HOLD
44,22,47,0,HOLD
44,20,28,0,HOLD
44,20,48,0,HOLD
43,18,57,0,HOLD
43,20,72,0,HOLD
43,22,19,0,HOLD
43,23,25,0,HOLD
43,22,39,0,HOLD
43,23,9,0,HOLD
42,23,21,0,HOLD
42,23,16,0,HOLD
42,22,46,0,HOLD
42,23,6,0,HOLD
42,24,85,0,HOLD
42,26,1,0,HOLD
42,26,17,0,HOLD
42,26,143,0,HOLD
42,30,203,0,HOLD
42,24,54,0,HOLD
42,25,0,0,HOLD
42,25,25,0,HOLD
41,26,3,0,HOLD
41,26,32,0,HOLD
41,25,76,0,HOLD
41,23,36,0,HOLD
41,24,106,0,HOLD
41,21,45,0,HOLD
41,22,12,0,HOLD
41,22,3,0,HOLD
40,22,6,0,HOLD
40,22,35,0,HOLD
40,23,50,0,HOLD
40,25,65,0,HOLD
40,23,32,0,HOLD
40,24,43,0,HOLD
39,22,106,0,HOLD
39,25,55,0,HOLD
39,24,9,0,HOLD
39,24,40,0,HOLD
39,22,54,0,HOLD
39,24,35,0,HOLD
38,25,10,0,HOLD
38,25,33,0,HOLD
38,26,9,0,HOLD
38,26,16,0,HOLD
38,27,69,0,HOLD
38,25,54,0,HOLD
38,23,57,0,HOLD
38,25,83,0,HOLD
37,27,52,0,HOLD
37,29,63,0,HOLD
37,30,101,0,HOLD
37,28,19,0,HOLD
37,28,16,0,HOLD
37,29,88,0,HOLD
37,31,151,0,HOLD
37,27,4,0,HOLD
37,27,29,0,HOLD
37,27,18,0,HOLD
37,27,58,0,HOLD
37,29,51,0,HOLD
37,27,4,0,HOLD
37,27,1,0,HOLD
36,27,24,0,HOLD
36,28,12,0,HOLD
36,28,55,0,HOLD
36,26,13,0,HOLD
36,27,42,0,HOLD
36,26,55,0,HOLD
36,27,16,0,HOLD
36,28,5,0,HOLD
36,28,17,0,HOLD
35,28,62,0,HOLD
35,26,23,0,HOLD
35,26,74,0,HOLD
35,28,75,0,HOLD
35,30,27,0,HOLD
35,31,34,0,HOLD
35,32,34,0,HOLD
35,33,24,0,HOLD
35,33,16,0,HOLD
35,34,11,0,HOLD
35,34,48,0,HOLD
35,35,18,0,HOLD
35,36,3,0,HOLD
35,36,26,0,HOLD
35,36,12,0,HOLD
35,36,10,0,HOLD
35,36,46,0,HOLD
35,37,21,0,HOLD
35,38,0,0,HOLD
35,38,31,0,HOLD
35,39,3,0,HOLD
36,39,39,0,HOLD
36,38,28,0,HOLD
36,38,93,0,HOLD
36,36,78,0,HOLD
36,38,46,0,HOLD
36,39,19,0,HOLD
36,40,97,0,HOLD
36,42,5,0,HOLD
36,42,6,0,HOLD
36,42,30,0,HOLD
36,43,63,0,HOLD
36,44,16,0,HOLD
36,45,46,0,HOLD
36,46,49,0,HOLD
36,45,49,0,HOLD
36,46,69,0,HOLD
36,44,37,0,HOLD
36,43,60,0,HOLD
36,45,28,0,HOLD
36,45,115,0,HOLD
36,48,25,0,HOLD
36,47,6,0,HOLD
36,47,17,0,HOLD
36,47,30,0,HOLD
36,46,43,0,HOLD
36,45,46,0,HOLD
36,46,45,0,HOLD
35,47,29,0,HOLD
35,48,35,0,HOLD
35,49,7,0,HOLD
35,49,50,0,HOLD
35,48,43,0,HOLD
35,47,34,0,HOLD
35,47,3,0,HOLD
35,48,9,0,HOLD
34,48,28,0,HOLD
34,48,12,0,HOLD
34,49,62,0,HOLD
34,50,102,0,HOLD
34,48,19,0,HOLD
33,47,82,0,HOLD
33,49,1,0,HOLD
33,49,56,0,HOLD
33,48,33,0,HOLD
33,49,76,0,HOLD
32,50,6,0,HOLD
32,50,3,0,HOLD
32,50,99,0,HOLD
31,52,42,0,HOLD
31,53,47,0,HOLD
30,52,69,0,HOLD
30,54,83,0,HOLD
29,52,116,0,HOLD
29,54,19,0,HOLD
28,54,13,0,HOLD
27,54,40,0,HOLD
26,53,45,0,HOLD
25,54,147,0,HOLD
25,57,124,0,HOLD
23,54,35,0,HOLD
22,53,50,0,HOLD
21,55,255,0,HOLD
20,49,122,0,HOLD
19,46,99,0,HOLD
19,44,11,0,HOLD
19,43,41,0,HOLD
18,42,34,0,HOLD
18,41,16,0,HOLD
18,42,69,0,HOLD
18,40,26,0,HOLD
18,39,16,0,HOLD
18,39,18,0,HOLD
18,40,33,0,HOLD
18,39,79,0,HOLD
18,41,37,0,HOLD
18,40,6,0,HOLD
18,40,13,0,HOLD
18,39,9,0,HOLD
18,39,49,0,HOLD
18,38,25,0,HOLD
18,38,25,0,HOLD
18,38,3,0,HOLD
18,38,6,0,HOLD
18,38,21,0,HOLD
18,38,17,0,HOLD
18,38,21,0,HOLD
18,38,47,0,HOLD
18,40,5,0,HOLD
18,40,50,0,HOLD
18,38,24,0,HOLD
18,39,46,0,HOLD
17,40,54,0,HOLD
17,41,9,0,HOLD
17,41,11,0,HOLD
17,41,43,0,HOLD
17,40,34,0,HOLD
17,39,31,0,HOLD
17,38,116,0,HOLD
17,35,57,0,HOLD
17,34,53,0,HOLD
17,32,31,0,HOLD
17,31,63,0,HOLD
17,30,1,0,HOLD
17,30,28,0,HOLD
17,29,9,0,HOLD
16,29,19,0,HOLD
16,29,60,0,HOLD
16,31,16,0,HOLD
16,31,10,0,HOLD
16,31,19,0,HOLD
16,31,8,0,HOLD
16,32,2,0,HOLD
16,32,50,0,HOLD
16,30,34,0,HOLD
16,31,42,0,HOLD
16,30,8,0,HOLD
16,30,25,0,HOLD
15,30,30,0,HOLD
15,30,25,0,HOLD
15,31,2,0,HOLD
15,31,25,0,HOLD
15,30,16,0,HOLD
15,31,5,0,HOLD
15,31,7,0,HOLD
15,31,30,0,HOLD
15,32,24,0,HOLD
15,31,10,0,HOLD
14,31,29,0,HOLD
14,32,11,0,HOLD
14,32,40,0,HOLD
14,34,85,0,HOLD
14,36,10,0,HOLD
14,36,48,0,HOLD
14,37,40,0,HOLD
14,36,13,0,HOLD
15,36,41,0,HOLD
15,35,3,0,HOLD
15,35,50,0,HOLD
15,36,3,0,HOLD
15,36,27,0,HOLD
15,37,33,0,HOLD
15,36,10,0,HOLD
