imp_v,spotDist,u%Chg,oLast,target
0,38,25,164,HOLD
0,38,3,164,HOLD
0,38,6,164,HOLD
0,38,21,165,HOLD
0,38,17,164,HOLD
0,38,21,163,HOLD
0,38,47,160,HOLD
0,40,5,160,HOLD
0,40,50,163,HOLD
0,38,24,162,HOLD
0,39,46,159,HOLD
0,40,54,156,HOLD
0,41,9,156,HOLD
0,41,11,157,HOLD
0,41,43,159,HOLD
0,40,34,161,HOLD
0,39,31,163,HOLD
0,38,116,171,HOLD
0,35,57,174,HOLD
0,34,53,178,HOLD
0,32,31,180,HOLD
0,31,63,184,HOLD
0,30,1,184,HOLD
0,30,28,186,HOLD
0,29,9,186,HOLD
0,29,19,185,HOLD
0,29,60,181,HOLD
0,31,16,180,HOLD
0,31,10,181,HOLD
0,31,19,180,HOLD
0,31,8,179,HOLD
0,32,2,179,HOLD
0,32,50,182,HOLD
0,30,34,180,HOLD
0,31,42,183,HOLD
0,30,8,182,HOLD
0,30,25,184,HOLD
0,30,30,182,HOLD
0,30,25,180,HOLD
0,31,2,180,HOLD
0,31,25,182,HOLD
0,30,16,181,HOLD
0,31,5,181,HOLD
0,31,7,181,HOLD
0,31,30,179,HOLD
0,32,24,180,HOLD
0,31,10,180,HOLD
0,31,29,178,HOLD
0,32,11,177,HOLD
0,32,40,174,HOLD
0,34,85,169,HOLD
0,36,10,169,HOLD
0,36,48,166,HOLD
0,37,40,168,HOLD
0,36,13,169,HOLD
0,36,41,172,HOLD
0,35,3,172,HOLD
0,35,50,169,HOLD
0,36,3,168,HOLD
0,36,27,167,HOLD
0,37,33,169,HOLD
0,36,10,169,HOLD
0,36,50,166,HOLD
0,37,23,168,HOLD
0,36,19,166,HOLD
0,37,21,168,HOLD
0,36,8,168,HOLD
0,36,21,170,HOLD
0,36,21,171,HOLD
0,35,55,174,HOLD
0,34,83,169,HOLD
0,36,45,172,HOLD
0,35,38,170,HOLD
0,35,31,168,HOLD
0,36,14,167,HOLD
0,37,61,171,HOLD
0,35,8,171,HOLD
0,35,9,171,HOLD
0,35,10,170,HOLD
15,35,9,170,HOLD
15,36,3,170,HOLD
15,35,43,167,HOLD
15,37,10,168,HOLD
15,36,15,167,HOLD
15,37,49,164,HOLD
15,38,8,163,HOLD
15,38,31,165,HOLD
15,37,26,167,HOLD
15,37,8,166,HOLD
15,37,24,165,HOLD
15,38,58,161,HOLD
15,39,5,162,HOLD
15,39,10,162,HOLD
15,39,21,161,HOLD
15,39,12,160,HOLD
15,39,24,162,HOLD
15,39,8,161,HOLD
15,39,25,163,HOLD
15,38,26,164,HOLD
15,38,28,163,HOLD
15,38,44,165,HOLD
15,37,8,165,HOLD
15,37,9,165,HOLD
15,37,6,165,HOLD
15,37,6,165,HOLD
15,37,6,166,HOLD
15,37,22,167,HOLD
15,37,23,169,HOLD
15,36,71,173,HOLD
15,34,80,168,HOLD
15,36,34,166,HOLD
15,37,13,167,HOLD
15,37,1,167,HOLD
15,37,13,168,HOLD
15,36,12,168,HOLD
15,36,69,164,HOLD
15,38,94,158,HOLD
15,40,34,160,HOLD
15,39,34,163,HOLD
15,38,16,162,HOLD
15,39,15,161,HOLD
15,39,2,160,HOLD
14,39,17,159,HOLD
14,40,43,162,HOLD
14,39,32,164,HOLD
14,38,10,163,HOLD
0,38,33,165,HOLD
0,37,9,165,HOLD
0,37,2,165,HOLD
0,37,6,165,HOLD
0,38,53,168,HOLD
0,36,61,164,HOLD
0,38,5,165,HOLD
0,38,25,166,HOLD
0,37,46,163,HOLD
0,38,19,162,HOLD
0,39,16,161,HOLD
0,39,37,163,HOLD
0,38,127,171,HOLD
0,35,1,171,HOLD
0,35,13,172,HOLD
0,34,49,175,HOLD
0,33,39,173,HOLD
0,34,26,175,HOLD
0,33,7,175,HOLD
0,33,20,174,HOLD
0,34,35,176,HOLD
0,33,31,178,HOLD
0,32,60,174,HOLD
0,34,9,175,HOLD
0,33,20,174,HOLD
0,34,15,174,HOLD
0,34,18,173,HOLD
13,34,8,173,HOLD
13,34,5,173,HOLD
13,34,90,167,HOLD
14,36,48,171,HOLD
13,35,0,171,HOLD
14,35,22,172,HOLD
14,35,15,171,HOLD
14,35,27,173,HOLD
14,34,34,175,HOLD
14,33,1,175,HOLD
14,33,1,175,HOLD
14,33,20,176,HOLD
15,33,44,173,HOLD
15,34,5,173,HOLD
15,34,1,173,HOLD
15,34,43,170,HOLD
15,35,22,172,HOLD
15,35,71,167,HOLD
16,37,9,167,HOLD
15,37,42,169,HOLD
15,36,0,169,HOLD
15,36,23,171,HOLD
15,35,19,170,HOLD
15,36,46,167,HOLD
15,37,35,169,HOLD
15,36,35,167,HOLD
15,37,62,171,HOLD
14,35,26,169,HOLD
14,36,19,168,HOLD
14,36,37,170,HOLD
13,35,18,171,HOLD
13,35,34,173,HOLD
0,34,9,174,HOLD
0,34,22,173,HOLD
0,34,3,173,HOLD
0,34,43,175,HOLD
