Chg, spotDist, metRelChg, volChg, target
161, 2, 127, 19, HOLD
208, 2, 193, 19, HOLD
181, 4, 157, 31, HOLD
176, 5, 44, 13, HOLD
119, 6, 91, 34, HOLD
117, 4, 158, 21, HOLD
168, 2, 143, 27, HOLD
176, 2, 154, 32, HOLD
184, 3, 147, 32, HOLD
179, 22, 145, 26, HOLD
161, 23, 146, 15, HOLD
134, 23, 121, 19, HOLD
150, 22, 135, 23, HOLD
161, 21, 147, 42, HOLD
188, 21, 150, 0, HOLD
172, 23, 140, 58, HOLD
183, 23, 155, 1, HOLD
183, 24, 132, 43, HOLD
174, 25, 115, 40, HOLD
169, 26, 126, 11, HOLD
145, 26, 125, 32, HOLD
149, 25, 135, 27, HOLD
163, 25, 142, 34, HOLD
164, 25, 144, 13, HOLD
152, 25, 153, 26, HOLD
157, 25, 152, 16, HOLD
154, 24, 135, 178, HOLD
164, 24, 134, 21, HOLD
178, 24, 158, 8, HOLD
163, 25, 149, 0, HOLD
159, 25, 143, 31, HOLD
157, 25, 132, 17, HOLD
161, 25, 147, 17, HOLD
141, 25, 126, 14, HOLD
148, 24, 132, 32, HOLD
163, 24, 137, 37, HOLD
174, 24, 159, 13, HOLD
175, 24, 155, 57, HOLD
156, 25, 152, 12, HOLD
149, 25, 153, 18, HOLD
152, 24, 150, 7, HOLD
171, 24, 151, 28, HOLD
148, 24, 130, 69, HOLD
159, 24, 142, 21, HOLD
165, 24, 133, 18, HOLD
156, 24, 144, 23, HOLD
159, 24, 128, 38, HOLD
154, 24, 126, 18, HOLD
141, 23, 145, 19, HOLD
137, 23, 142, 15, HOLD
150, 22, 125, 15, HOLD
161, 25, 147, 17, HOLD
141, 25, 126, 14, HOLD
148, 24, 132, 32, HOLD
163, 24, 137, 37, HOLD
174, 24, 159, 13, HOLD
175, 24, 155, 57, HOLD
156, 25, 152, 12, HOLD
149, 25, 153, 18, HOLD
152, 24, 150, 7, HOLD
171, 24, 151, 28, HOLD
148, 24, 130, 69, HOLD
159, 24, 142, 21, HOLD
165, 24, 133, 18, HOLD
156, 24, 144, 23, HOLD
159, 24, 128, 38, HOLD
154, 24, 126, 18, HOLD
141, 23, 145, 19, HOLD
137, 23, 142, 15, HOLD
150, 22, 125, 26, HOLD
160, 21, 144, 29, HOLD
148, 21, 140, 14, HOLD
154, 21, 144, 16, HOLD
132, 20, 120, 7, HOLD
104, 19, 90, 14, HOLD
175, 17, 155, 34, HOLD
135, 17, 128, 4, HOLD
